14:28:09,47,48
14:28:10,0,3
14:28:12,0,3
14:28:13,1,5
14:28:14,1,3
14:28:15,0,2
14:28:16,0,3
14:28:17,1,3
14:28:18,0,3
14:28:19,0,3
14:28:20,0,3
14:28:21,0,2
14:28:22,1,4
14:28:23,0,3
14:28:24,0,3
14:28:25,0,2
14:28:26,11,14
14:28:27,43,45
14:28:28,9,11
14:28:29,0,3
14:28:30,23,23
14:28:31,0,3
14:28:32,0,2
14:28:33,1,4
14:28:34,0,3
14:28:35,0,3
14:28:36,0,2
14:28:37,0,2
14:28:38,501,6
14:28:41,160,163
14:28:43,1,3
14:28:44,0,3
14:28:45,1,3
14:28:46,0,5
14:28:47,0,3
14:28:48,1,4
14:28:49,1,3
14:28:50,1,3
14:28:51,0,3
14:28:52,1,3
14:28:53,1,3
14:28:54,1,4
14:28:55,1,3
14:28:56,0,3
14:28:57,1,4
14:28:58,0,3
14:28:59,0,3
14:29:00,0,2
14:29:01,0,3
14:29:02,0,3
14:29:03,12,16
14:29:04,1,3
14:29:05,0,3
14:29:06,0,3
14:29:07,0,3
14:29:08,1,4
14:29:09,0,3
14:29:10,0,3
14:29:11,0,3
14:29:13,1,3
14:29:14,1,3
14:29:15,206,208
14:29:16,156,652
14:29:20,1,3
14:29:21,1,4
14:29:22,125,127
14:29:24,45,47
14:29:25,1,4
14:29:26,118,120
14:29:27,259,259
14:29:29,217,217
14:29:31,152,152
14:29:33,3,5
14:29:34,29,29
14:29:35,0,3
14:29:36,1,3
14:29:37,2,4
14:29:38,160,160
14:29:40,175,174
14:29:41,237,241
14:29:43,2,4
14:29:44,2,4
14:29:45,1,4
14:29:46,0,3
14:29:47,1,3
14:29:48,0,3
14:29:49,1,3
14:29:51,1,3
14:29:52,0,3
14:29:53,1,3
14:29:54,1,4
14:29:55,0,6
14:29:56,2,5
14:29:57,1,3
14:29:58,0,3
14:29:59,1,3
14:30:00,1,2
14:30:01,0,3
14:30:02,0,3
14:30:03,0,3
14:30:04,1,3
14:30:05,1,2
14:30:06,1,3
14:30:07,1,3
14:30:08,1,3
14:30:09,1,3
14:30:10,1,3
14:30:11,0,2
14:30:12,154,156
14:30:14,2,3
